NOM_RBD,COD_COM_RBD,PROM_GRAL,ASISTENCIA
CENTRO EDUCACIONAL NUEVA CREACION,13201.0,3.7142045454545456,59.94318181818182
CENTRO EDUCACIONAL PIAMARTINO CAROLINA LLONA DE CUEVAS,13119.0,5.673075388911049,85.06820901475868
CENTRO EDUCACIONAL RENCA,13128.0,4.073958333333334,79.97916666666667
CENTRO EDUCACIONAL SAN ANDRES,13119.0,6.08072625698324,85.72625698324022
CENTRO EDUCACIONAL SAN CARLOS DE ARAGON,13201.0,5.896088888888889,83.52666666666667
CENTRO EDUCACIONAL SAN LORENZO,13127.0,5.7395170142700325,72.09659714599341
CENTRO EDUCACIONAL SANTA CLARA,13109.0,5.960759493670886,87.45253164556962
CENTRO EDUCACIONAL SANTA ROSA,13109.0,5.010828025477707,72.86146496815287
CENTRO EDUCACIONAL SANTA ROSA DEL SUR,13112.0,5.833185840707964,88.31969026548673
CENTRO EDUCATIVO SALESIANOS ALAMEDA,13101.0,5.832265446224256,91.53032036613273
CENTRO POLITEC. CARLOS CONDELL DE LA CISTERNA,13109.0,5.140860215053763,77.04838709677419
CENTRO POLITECNICO PARTICULAR CONCHALI,13104.0,5.445806451612904,49.10709677419355
CENTRO POLITECNICO PARTICULAR DE NUNOA,13120.0,5.054715127701375,78.31237721021611
CENTRO POLITECNICO PARTICULAR SAN RAMON,13109.0,4.940552651232262,87.71471247199402
CENTRO TECNICO EDUCACIONAL SAN CAYETANO,13201.0,4.4937153419593345,67.87985212569316
CHILEAN EAGLES COLLEGE - LA CISTERNA,13109.0,5.809131736526946,91.42964071856288
CHILEAN EAGLES COLLEGE - LA FLORIDA,13110.0,5.67104459376909,80.1710445937691
CHILEAN EAGLES COLLEGE-LA PINTANA,13112.0,5.6409722222222225,83.73214285714286
CIUDAD SANTIAGO DE CHILE,13101.0,5.856060606060606,82.10227272727273
"COL HOSP. CONSTRUYENDO SUEÑOS, CLINICA DAVILA",13127.0,5.570967741935483,87.09677419354838
COL TEC PROFESIONAL REPUBLICA ARGENTINA,13120.0,5.703994293865906,80.44793152639087
COL.  PART. SALES. EL PATROCINIO DE SAN JOSE,13123.0,6.324999999999999,90.71146245059289
COL. PART. SAGRADO CORAZON DE JESUS DE LA RE,13113.0,5.9399826539462275,86.74674761491761
COL.PART.INMAC.CONC. DE NTRA.SRA. DE LOURDES,13605.0,6.219430315361139,87.4323499491353
COL.PARTICULAR SAN VALENTIN DE MAIPU,13119.0,6.10126050420168,93.0546218487395
COLEG. POLIV. SANTA MARIA DE LA PROVIDENCIA,13128.0,5.9458396369137665,99.3948562783661
COLEGIO  ALONSO  DE  CORDOVA,13128.0,5.605378151260504,82.57142857142857
COLEGIO  ARTISTICO SOL DEL  ILLIMANI,13110.0,5.6463636363636365,78.52272727272727
COLEGIO  CHALLAY,13404.0,6.291443850267379,94.54545454545455
COLEGIO  EDUCAR ADULTOS  RECOLETA,13127.0,2.7765060240963853,89.75903614457832
COLEGIO  EPULLAY,13122.0,6.334843205574913,93.47560975609755
COLEGIO  FITZROY COLLEGE,13401.0,6.01063829787234,88.88936170212766
COLEGIO  INGLES ISAAC NEWTON,13401.0,6.112087912087912,87.0952380952381
COLEGIO  INSTITUTO MANQUEHUE,13501.0,4.792749244712991,78.74018126888218
COLEGIO  INSTITUTO PASCAL,13123.0,6.1263959390862945,91.57360406091371
COLEGIO  LATINOAMERICANO,13110.0,5.897844112769486,86.72802653399668
COLEGIO  MANQUECURA CIUDAD DE LOS VALLES,13124.0,6.051325478645067,91.34756995581738
COLEGIO  MANQUECURA PUENTE ALTO,13201.0,6.275024015369837,97.12199807877042
COLEGIO  MANQUECURA VALLE LO CAMPINO,13125.0,5.832576687116565,88.81840490797546
COLEGIO  MAYOR DE PEÑALOLEN,13122.0,6.5686806411837235,92.2213316892725
COLEGIO  PAULO  FREIRE  DE  SAN  MIGUEL,13130.0,4.327488151658768,4.014218009478673
COLEGIO  PEDRO DE VALDIVIA-AGUSTINAS,13101.0,6.462510460251046,93.0928870292887
COLEGIO  PUMAHUE HUECHURABA,13107.0,6.415909090909091,98.11302211302211
COLEGIO  SAN CARLOS DE QUILICURA,13125.0,5.980663615560641,83.6870709382151
COLEGIO  SAN JOSE DE CHICUREO,13301.0,6.367521367521367,94.52991452991454
COLEGIO ABERSAN,13301.0,5.700367647058823,83.78860294117646
COLEGIO ACADEMIA DE HUMANIDADES,13127.0,6.214684756584198,90.58978451715882
COLEGIO ADUL. INSTITUTO TABANCURA DE VITACURA,13132.0,5.638983050847457,94.45762711864407
COLEGIO ADULTOS  ALFRED NOBEL,13119.0,3.719170984455958,55.07253886010363
COLEGIO ADULTOS MANQUEHUE,13302.0,4.395890410958904,84.2937595129376
COLEGIO ADVENTISTA LA CISTERNA,13109.0,6.202583025830259,97.23247232472325
COLEGIO ADVENTISTA LA FLORIDA,13110.0,6.15679012345679,9.835390946502057
COLEGIO ADVENTISTA PORVENIR,13101.0,6.073851590106007,75.91519434628975
COLEGIO ADVENTISTA SANTIAGO PONIENTE,13117.0,6.053653444676409,82.89144050104385
COLEGIO AKROS,13120.0,6.28269525267994,93.08728943338438
COLEGIO ALAMIRO PEREZ,13111.0,4.749019607843137,74.7843137254902
COLEGIO ALBERT EINSTEIN,13127.0,5.909203980099503,90.07960199004975
COLEGIO ALBERTO HURTADO CRUCHAGA,13604.0,5.753741496598639,86.37981859410431
COLEGIO ALBERTO PEREZ,13119.0,6.112984054669704,15.004555808656036
COLEGIO ALBORADA DE LAMPA,13302.0,4.511300639658849,59.353944562899784
COLEGIO ALCANTARA DE TALAGANTE,13601.0,6.392961165048544,98.90776699029126
COLEGIO ALCAZAR,13119.0,5.902808988764045,94.68913857677903
COLEGIO ALCAZAR DE LAS CONDES,13114.0,6.250274223034735,90.3418647166362
COLEGIO ALCÁNTARA DE LOS ALTOS DE PEÑALOLEN,13122.0,5.88106828938472,83.50574712643679
COLEGIO ALEMAN DE SANTIAGO,13114.0,6.1917857142857144,91.05595238095238
COLEGIO ALEMAN DE SANTIAGO ANEXO,13132.0,6.44156378600823,94.84979423868313
COLEGIO ALEMAN SANKT THOMAS MORUS,13123.0,6.547081218274112,95.61040609137056
COLEGIO ALICANTE DE LA FLORIDA,13110.0,6.382563749138526,98.87319090282564
COLEGIO ALICANTE DEL SOL,13201.0,5.862142611091974,98.576644850155
COLEGIO ALICANTE DEL VALLE,13201.0,6.1031941923774955,96.03774954627949
COLEGIO ALICURA,13122.0,4.181203007518797,66.203007518797
